country_name,country_code,population_density,gdp_per_capita,life_expectancy,co2_emissions,dbpedia_uri
Morocco,MAR,81.9722339233699,3268.0302734375,73.133,14.5482110984799,http://dbpedia.org/resource/Morocco
Mozambique,MOZ,39.1460718736489,462.433876479921,61.39,1.7821404217217,http://dbpedia.org/resource/Mozambique
Myanmar,MMR,81.2302112859485,1490.21683599469,66.612,5.07264278712779,http://dbpedia.org/resource/Myanmar
Namibia,NAM,3.31446027523716,3878.58982993966,64.071,12.704361178226,http://dbpedia.org/resource/Namibia
Nauru,NRU,582.15,10709.068810538,61.527,26.8940316686967,http://dbpedia.org/resource/Nauru
Nepal,NPL,202.068880362749,1154.21517578318,69.106,4.07492997883683,http://dbpedia.org/resource/Nepal
Netherlands,NLD,518.013068013068,53467.9277413737,81.3585365853659,59.7724278301752,http://dbpedia.org/resource/Netherlands
New Zealand,NZL,19.2639854164293,41997.7830324279,82.2560975609756,49.2863934619465,http://dbpedia.org/resource/New_Zealand
Nicaragua,NIC,54.5559830480306,1938.44704754382,70.766,5.42601683418703,http://dbpedia.org/resource/Nicaragua
Niger,NER,18.7239385805637,579.512495758236,59.89,0.722604621528247,http://dbpedia.org/resource/Niger
Nigeria,NGA,234.961824609945,2797.18458068686,53.072,4.30008140311641,http://dbpedia.org/resource/Nigeria
North Macedonia,MKD,73.5973037272006,6659.59651070776,74.3951219512195,27.0000620073283,http://dbpedia.org/resource/North_Macedonia
Norway,NOR,14.7672152298338,68340.0181033702,83.209756097561,53.8006403970648,http://dbpedia.org/resource/Norway
Oman,OMN,14.612268174475,16784.8630630058,77.763,125.08960802254,http://dbpedia.org/resource/Oman
Pakistan,PAK,304.848674242424,1278.39735206896,65.701,6.48288172408248,http://dbpedia.org/resource/Pakistan
Palau,PLW,38.6782608695652,14708.2119536914,68.689,70.420654351213,http://dbpedia.org/resource/Palau
Panama,PAN,57.87626044756,13290.5608397749,76.33,17.8515441985322,http://dbpedia.org/resource/Panama
Papua New Guinea,PNG,21.6750121450338,2429.61134585269,65.075,4.5060125296934,http://dbpedia.org/resource/Papua_New_Guinea
Paraguay,PRY,16.621542914674,5365.47220721104,72.72,9.15672953656272,http://dbpedia.org/resource/Paraguay
Peru,PER,25.65513984375,6133.32552410183,73.832,11.1885281489527,http://dbpedia.org/resource/Peru
Philippines,PHL,375.897186168964,3227.57910235199,70.097,9.5174356133827,http://dbpedia.org/resource/Philippines
Poland,POL,122.548420605625,16150.9304813473,76.4,58.9405069834167,http://dbpedia.org/resource/Poland
Portugal,PRT,112.406676011074,22299.4044062173,81.3292682926829,30.2792606953369,http://dbpedia.org/resource/Portugal
Qatar,QAT,243.180852915579,51683.5681078949,80.409,253.814739610598,http://dbpedia.org/resource/Qatar
Republic of the Congo,COG,16.845654465593,1993.586671931,64.391,10.0367333581894,http://dbpedia.org/resource/Republic_of_the_Congo
Romania,ROU,83.7328320584145,13009.1770573223,74.2536585365854,28.5131000116791,http://dbpedia.org/resource/Romania
Russia,RUS,8.86891988517952,10108.3271484375,71.3387804878049,89.6770338671307,http://dbpedia.org/resource/Russia
Rwanda,RWA,529.624523713012,778.701498925026,66.953,0.840993120378094,http://dbpedia.org/resource/Rwanda
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,STP,226.494791666667,2167.22001796925,67.979,5.1628011214731,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saint Kitts and Nevis,KNA,180.269230769231,18859.0190361046,71.181,38.7893035556862,http://dbpedia.org/resource/Saint_Kitts_and_Nevis
Saint Lucia,LCA,292.213114754098,8411.07474936367,72.308,22.2811138325234,http://dbpedia.org/resource/Saint_Lucia
Saint Vincent and the Grenadines,VCT,265.451282051282,8351.20324040982,69.605,16.805566174784,http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines
Samoa,WSM,76.2388489208633,4099.59660548583,70.727,7.68625918326517,http://dbpedia.org/resource/Samoa
Saudi Arabia,SAU,14.6777023663877,24338.8307301067,77.596,114.132682940326,http://dbpedia.org/resource/Saudi_Arabia
Senegal,SEN,87.2031319794318,1461.08720350553,67.496,5.19840448962407,http://dbpedia.org/resource/Senegal
Serbia,SRB,82.0445475086217,8098.70955668849,74.4780487804878,53.7161373774011,http://dbpedia.org/resource/Serbia
Seychelles,SYC,214.047826086957,14041.4754074575,77.2365853658537,48.644146980561,http://dbpedia.org/resource/Seychelles
Sierra Leone,SLE,109.622582432807,845.277557920549,59.694,1.01822085822513,http://dbpedia.org/resource/Sierra_Leone
Singapore,SGP,7918.95125348189,61410.0792630788,83.5439024390244,61.4934696165382,http://dbpedia.org/resource/Singapore
Slovakia,SVK,113.536335274542,19735.4858280801,76.8658536585366,42.5524384634281,http://dbpedia.org/resource/Slovakia
Slovenia,SVN,104.408881428657,25392.0651093612,80.5317073170732,47.4778814308661,http://dbpedia.org/resource/Slovenia
Solomon Islands,SLB,26.5987138263666,2063.32780991967,69.258,2.58452439340211,http://dbpedia.org/resource/Solomon_Islands
Somalia,SOM,26.5425303663085,518.16113333875,57.095,0.319477226121085,http://dbpedia.org/resource/Somalia
South Africa,ZAF,49.9240625180325,5580.60383075189,65.15,53.5005051790225,http://dbpedia.org/resource/South_Africa
South Korea,KOR,531.109006147541,33645.7719545073,83.4268292682927,87.9202366514284,http://dbpedia.org/resource/South_Korea
